Rank,Title,Website,Email domain,
116,Gilead Sciences,http://www.gilead.com,gilead.com,
117,TD Synnex,http://www.synnex.com,tdsynnex.com,
118,Eli Lilly,http://www.lilly.com,lilly.com,
119,Truist Financial,,truist.com,
120,PNC Financial Services Group,http://www.pnc.com,pnc.com,
121,Broadcom,,broadcom.com,
122,CBRE Group,http://www.cbre.com,cbre.com,
123,Massachusetts Mutual Life Insurance,http://www.massmutual.com,massmutual.com,
124,Qualcomm,http://www.qualcomm.com,qualcomm.com,
125,Starbucks,http://www.starbucks.com,starbucks.com,
126,Duke Energy,http://www.duke-energy.com,duke-energy.com,
127,Plains GP Holdings,http://www.plainsallamerican.com,plainsallamerican.com,
128,US Foods Holding,http://www.usfoods.com,usfoods.com,
129,Lennar,http://www.lennar.com,lennar.com,
130,Danaher,http://www.danaher.com,danaher.com,
131,Aflac,http://www.aflac.com,aflac.com,
132,Rite Aid,http://www.riteaid.com,riteaid.com,
133,Visa,http://www.visa.com,visa.com,
134,PayPal Holdings,http://www.paypal.com,paypal.com,
135,Micron Technology,http://www.micron.com,micron.com,
136,CarMax,http://www.carmax.com,carmax.com,
137,Salesforce,http://www.salesforce.com,salesforce.com,
138,Altria Group,http://www.altria.com,altria.com,
139,Lumen Technologies,,lumen.com,
140,Baker Hughes,http://www.bakerhughes.com,bakerhughes.com,
141,International Paper,http://www.internationalpaper.com,internationalpaper.com,
142,Hartford Financial Services Group,http://www.thehartford.com,thehartford.com,
143,Penske Automotive Group,http://www.penskeautomotive.com,penskeautomotive.com,
144,DuPont,http://www.dupont.com,dupont.com,
145,AutoNation,http://www.autonation.com,autonation.com,
146,Southern,http://www.southerncompany.com,southerncompany.com,
147,World Fuel Services,http://www.wfscorp.com,wfscorp.com,
148,D.R. Horton,http://www.drhorton.com,drhorton.com,
149,Nucor,http://www.nucor.com,nucor.com,
150,Cummins,http://www.cummins.com,cummins.com,
151,NGL Energy Partners,http://www.nglenergypartners.com,nglenergypartners.com,
152,DXC Technology,http://www.dxc.technology,dxc.com,
153,Union Pacific,http://www.up.com,up.com,
154,Whirlpool,http://www.whirlpoolcorp.com,whirlpoolcorp.com,
155,Molina Healthcare,http://www.molinahealthcare.com,molinahealthcare.com,
156,ConocoPhillips,http://www.conocophillips.com,conocophillips.com,
157,McDonald’s,http://www.aboutmcdonalds.com,mcdonalds.com,
158,Kimberly-Clark,http://www.kimberly-clark.com,kimberly-clark.com,
159,Paccar,http://www.paccar.com,paccar.com,
160,PG&E Corp.,http://www.pgecorp.com,pgecorp.com,
161,CDW,http://www.cdw.com,cdw.com,
162,Sherwin-Williams,http://www.sherwin.com,sherwin.com,
163,L3Harris Technologies,http://www.l3t.com,l3harris.com,
164,Macy’s,http://www.macysinc.com,macysinc.com,
165,ManpowerGroup,http://www.manpowergroup.com,manpowergroup.com,
166,NextEra Energy,http://www.nexteraenergy.com,nexteraenergy.com,
167,Tenet Healthcare,http://www.tenethealth.com,tenethealth.com,
168,Avnet,http://www.avnet.com,avnet.com,
169,General Mills,http://www.generalmills.com,generalmills.com,
170,WestRock,http://www.westrock.com,westrock.com,
171,Carrier Global,,carrier.com,
172,Lincoln National,http://www.lfg.com,lfg.com,
173,Genuine Parts,http://www.genpt.com,genpt.com,
174,American Airlines Group,http://www.aa.com,aa.com,
175,Marsh & McLennan,http://www.mmc.com,mmc.com,
176,Applied Materials,http://www.appliedmaterials.com,appliedmaterials.com,
177,Becton Dickinson,http://www.bd.com,bd.com,
178,Delta Air Lines,http://www.delta.com,delta.com,
179,Lear,http://www.lear.com,lear.com,
180,Bank of New York Mellon,http://www.bnymellon.com,bnymellon.com,
181,Emerson Electric,http://www.emerson.com,emerson.com,
182,Western Digital,http://www.westerndigital.com,westerndigital.com,
183,Occidental Petroleum,http://www.oxy.com,oxy.com,
184,Nvidia,http://www.nvidia.com,nvidia.com,
185,Cognizant Technology Solutions,http://www.cognizant.com,cognizant.com,
186,Jones Lang LaSalle,http://www.jll.com,jll.com,
187,Synchrony Financial,,synchrony.com,
188,Colgate-Palmolive,http://www.colgatepalmolive.com,colgatepalmolive.com,
189,AECOM,http://www.aecom.com,aecom.com,
190,XPO Logistics,http://www.xpo.com,xpo.com,
191,C.H. Robinson Worldwide,http://www.chrobinson.com,chrobinson.com,
192,BlackRock,http://www.blackrock.com,blackrock.com,
193,Dominion Energy,http://www.dominionenergy.com,dominionenergy.com,
194,Rocket Companies,,rocketcompanies.com,
195,Kohl’s,http://www.kohls.com,kohls.com,
196,Fluor,http://www.fluor.com,fluor.com,
197,DISH Network,http://www.dish.com,dish.com,
198,BJ's Wholesale Club,,bjs.com,
199,Tenneco,http://www.tenneco.com,tenneco.com,
200,United Airlines Holdings,,united.com,
201,Mastercard,http://www.mastercard.com,mastercard.com,
202,Waste Management,http://www.wm.com,wm.com,
